"indiv","sex","ars","f","smlh","pack","migrant","littersize","littersync","index","rain","rainsd","age","packsize","fhresid"
"HM047","M",1,0,1.10823601117133,"1H",TRUE,5,TRUE,NA,61.4,48.360427097896,2,25,0.0639679947740929
"HM047","M",0,0,1.10823601117133,"1H",TRUE,5,TRUE,NA,68.4833333333333,46.0358128048812,3,22.8333333333333,0.0639679947740929
"HM049","M",0,0,1.35860657694922,"1H",TRUE,5,TRUE,NA,68.2333333333333,57.5637564844934,1,21.3333333333333,0.314338560551986
"HM049","M",0,0,1.35860657694922,"1H",TRUE,5,TRUE,NA,61.4,48.360427097896,2,25,0.314338560551986
"HM049","M",0,0,1.35860657694922,"1H",TRUE,5,TRUE,NA,68.4833333333333,46.0358128048812,3,22.8333333333333,0.314338560551986
"HM052","M",0,0.046875,1.3117580742958,"1H",TRUE,5,TRUE,NA,64.8583333333333,59.758231967477,1,23.5,0.306342715392961
"HM052","M",0,0.046875,1.3117580742958,"1H",FALSE,5,TRUE,NA,61.6916666666667,44.6566183292696,2,23.9166666666667,0.306342715392961
"HM052","M",0,0.046875,1.3117580742958,"1H",FALSE,5,TRUE,NA,69.25,47.483097471148,3,22.8333333333334,0.306342715392961
"HM052","M",1,0.046875,1.3117580742958,"1H",FALSE,5,TRUE,NA,64.7916666666667,33.3974266382996,4,20.5833333333334,0.306342715392961
"DF026","F",3,0,1.16808462905229,"11",FALSE,5,TRUE,0,64.55,63.8313473858332,1,14.6666666666667,0.123816612655055
"DF026","F",0,0,1.16808462905229,"11",FALSE,5,TRUE,0,63.1166666666667,38.3054668145265,2,16.8333333333333,0.123816612655055
"DF026","F",0,0,1.16808462905229,"11",FALSE,5,TRUE,0,69.1583333333333,46.5621668180066,3,24.1538461538462,0.123816612655055
"HF057","F",0,0,1.09189639049762,"1H",FALSE,13,TRUE,NA,64.55,63.8313473858332,1,25.4166666666667,0.047628374100387
"HM060","M",0,0.125,1.09189639049762,"1H",FALSE,13,TRUE,NA,64.55,63.8313473858332,1,25.4166666666667,0.151235460752109
"HM060","M",0,0.125,1.09189639049762,"1H",FALSE,13,TRUE,NA,63.1166666666667,38.3054668145265,2,23,0.151235460752109
"HM060","M",0,0.125,1.09189639049762,"1H",FALSE,13,TRUE,NA,69.1583333333333,46.5621668180066,3,22.8461538461539,0.151235460752109
"HM061","M",0,0,1.15310395634603,"1H",FALSE,13,TRUE,NA,64.55,63.8313473858332,1,25.4166666666667,0.108835939948794
"HF062","F",0,0.0625,1.19115969872468,"1H",FALSE,13,TRUE,NA,64.55,63.8313473858332,1,25.4166666666667,0.198695225653305
"HF062","F",0,0.0625,1.19115969872468,"1H",FALSE,13,TRUE,NA,63.1166666666667,38.3054668145265,2,23,0.198695225653305
"HF062","F",2,0.0625,1.19115969872468,"1H",FALSE,13,TRUE,NA,69.1583333333333,46.5621668180066,3,22.8461538461539,0.198695225653305
"HF063","F",0,0,1.29042300695174,"1H",FALSE,13,TRUE,NA,64.55,63.8313473858332,1,25.4166666666667,0.2461549905545
"HF063","F",1,0,1.29042300695174,"1H",FALSE,13,TRUE,NA,63.1166666666667,38.3054668145265,2,23,0.2461549905545
"HF063","F",1,0,1.29042300695174,"1H",FALSE,13,TRUE,NA,69.1583333333333,46.5621668180066,3,22.8461538461539,0.2461549905545
"FF066","F",1,0,0.914153187953966,"4B",FALSE,13,TRUE,NA,68.65,66.372043676673,1,23.0833333333333,-0.130114828443269
"FF066","F",2,0,0.914153187953966,"4B",FALSE,13,TRUE,NA,58.5583333333333,31.0295008700176,2,22.4166666666667,-0.130114828443269
"FF066","F",5,0,0.914153187953966,"4B",FALSE,13,TRUE,NA,72.0666666666667,49.2275483357796,3,25.0833333333334,-0.130114828443269
"FF066","F",2,0,0.914153187953966,"4B",FALSE,13,TRUE,NA,63.775,29.5998502760341,4,16.2307692307693,-0.130114828443269
"FF066","F",1,0,0.914153187953966,"4B",FALSE,13,TRUE,NA,55.8166666666667,36.1532302928253,5,14.75,-0.130114828443269
"FM072","M",0,0.125,1.24079135283821,"4B",TRUE,13,TRUE,NA,68.65,66.372043676673,1,23.0833333333333,0.300130423092694
"FM072","M",0,0.125,1.24079135283821,"4B",TRUE,13,TRUE,NA,58.5583333333333,31.0295008700176,2,22.4166666666667,0.300130423092694
"FM072","M",3,0.125,1.24079135283821,"4B",FALSE,13,TRUE,NA,72.0666666666667,49.2275483357796,3,25.0833333333334,0.300130423092694
"HF068","F",2,0,0.858526106821192,"1H",FALSE,9,TRUE,0.428571428571429,61.3333333333333,48.3257757936756,1,25.1666666666667,-0.185741909576044
"HM069","M",0,0,1.11729834083263,"1H",FALSE,9,TRUE,0.5,61.3333333333333,48.3257757936756,1,25.1666666666667,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"1H",FALSE,9,TRUE,0.5,67.2,46.3190320200318,2,22.8461538461539,0.0730303244353902
"HM069","M",3,0,1.11729834083263,"1H",TRUE,9,TRUE,0.5,62.15,31.0532241043137,3,21.5833333333333,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,55.9083333333333,37.4065735188916,4,7.58333333333333,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,69.1833333333333,27.2379025134707,5,6.25,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,66.1,17.9359466384739,6,4.66666666666666,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,57,57.3389444047808,7,4.41666666666667,0.0730303244353902
"HM069","M",3,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,58.8916666666667,50.5633258819317,8,9.69230769230769,0.0730303244353902
"HM069","M",1,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,72.6916666666667,48.3463161769207,9,11,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,58.95,38.214264352464,10,11.25,0.0730303244353902
"HM069","M",0,0,1.11729834083263,"17",FALSE,9,TRUE,0.5,68.1454545454545,60.0101385373566,11,10.6666666666667,0.0730303244353902
"BM207","M",0,0,0.78550082972539,"1B",TRUE,24,TRUE,NA,69.8333333333333,52.0527238538586,1,21.9166666666667,-0.258767186671846
"BM211","M",0,0.0625,0.964939476173631,"1B",FALSE,24,TRUE,NA,69.8333333333333,52.0527238538586,1,21.9166666666667,-0.0275249968977432
