"indiv","pack","sex","daten","litter","index","rain","rainsd","brain","f","smlh","avweight","avage","dup","old_index","litter_eobservations","escort_eobservations","record_end","litter_eobservations2","fhresid"
"BF622","1B","F",41832,"B1304",0.666666666666667,65.5916666666667,34.5961232282498,0,0.013671875,1.26600007253245,1121.55555555556,365.777777777778,FALSE,0.75,9,6,41923,9,0.259361708699418
"BM620","1B","M",41810,"B1304",0.111111111111111,65.5916666666667,34.5961232282498,0,0.099609375,0.78166801884563,1462.44444444444,365.777777777778,FALSE,1,9,1,42532,9,-0.178495315055636
"TM363","2","M",41915,"T1305",0.5,70.2333333333333,39.2975209334527,2.7,0.125,1.04233345305256,1255.66666666667,363,FALSE,1,2,1,42154,2,0.095901377994775
"DF223","11","F",41807,"D1302",0.6,65.5916666666667,34.5961232282498,1.96,0.375,0.821848550496738,858.25,367.75,FALSE,0.75,5,3,42376,5,0.0106165625131885
"BF627","1B","F",41832,"B1304",0.333333333333333,65.5916666666667,34.5961232282498,0,0.048828125,1.33269904410209,1534.44444444444,365.777777777778,FALSE,0.375,9,3,42532,9,0.345073192513868
"HF261","1H","F",41795,"H1303",0.666666666666667,59.0083333333333,37.6155301180324,3.628,0.119140625,1.07776799942868,1029.625,363.625,FALSE,0.8,6,4,42312,6,0.128167172330088
"DF222","11","F",41821,"D1302",0.8,65.5916666666667,34.5961232282498,1.96,0.125,0.821848550496738,913.5,367.75,FALSE,1,5,4,41988,5,-0.12458352456105
"BM638","1B","M",41937,"B1306",1,75.7333333333333,50.4303720414833,3.13333333333333,0.048828125,0.915533810322006,1664.71428571429,364.428571428571,FALSE,1,10,10,42532,10,-0.0720920412662141
"DF026","11","F",38111,"D0301",0,74.1583333333333,77.1822101303536,4.66666666666667,0,1.16808462905229,1415,365.357142857143,FALSE,0,13,0,39143,13,0.154052510457383
"HF068","1H","F",38281,"H0304",0.6,64.6083333333333,63.6441164649653,1.63333333333333,0,0.858526106821192,1110.57142857143,363.142857142857,FALSE,0.428571428571429,5,3,38801,5,-0.155506011773716
"HM069","1H","M",38281,"H0304",0.6,64.6083333333333,63.6441164649653,1.63333333333333,0,1.11729834083263,1191,363.142857142857,FALSE,0.5,5,3,42437,5,0.103266222237718
"HM078","1H","M",38451,"H0402",0.5,60.65,48.0030207382827,7.38666666666667,0.03125,0.660221746855642,1204.33333333333,365.5,FALSE,0.75,18,9,40147,18,-0.336910360854985
"HF080","1H","F",38451,"H0402",0.944444444444444,60.65,48.0030207382827,7.38666666666667,0,1.16808462905229,1127,363,FALSE,0.944444444444444,18,17,40590,18,0.154052510457383
"HM081","1H","M",38451,"H0402",0.444444444444444,60.65,48.0030207382827,7.38666666666667,0,0.931571867934693,1201.6,363,FALSE,1,18,8,39458,18,-0.0824602506602147
"DM039","11","M",38502,"D0402",0.6,59.15,47.2327794497154,2.51,0.125,0.914153187953966,1205,369.8,FALSE,0.857142857142857,20,12,39428,20,-0.032278887103822
"DF051","11","F",38630,"D0403",0.7,62.975,37.8668510585566,3.56333333333333,0,1.07751556102869,1209.14285714286,365.857142857143,FALSE,0.583333333333333,10,7,40217,10,0.0634834424337857
"DM054","11","M",38630,"D0403",0.1,62.975,37.8668510585566,3.56333333333333,0,1.04443558138705,1060.85714285714,365.857142857143,FALSE,0.0625,10,1,41299,10,0.0304034627921449
"KM052","15","M",38790,"K0502",0.67741935483871,57.2,34.7813690984647,4.13333333333333,0.265625,0.694843157589396,1081.66666666667,365.5,FALSE,0.724137931034483,31,21,39645,31,-0.175538868489133
"FM100","4B","M",38856,"F0501",0.625,68.1416666666667,46.0695020067671,1.75666666666667,0.125,0.994320225908357,1206.90909090909,363.090909090909,FALSE,1,8,5,39457,8,0.0478881508505691
"DF056","11","F",38714,"D0501",0.5,59.775,37.5159390368705,2.75333333333333,0,0.952763655014193,1000,366.375,FALSE,0.454545454545455,20,10,39143,20,-0.0612684635807142
"DM057","11","M",38714,"D0501",0.75,59.775,37.5159390368705,2.75333333333333,0,0.890121550415007,1091.42857142857,366,FALSE,0.75,20,15,39090,20,-0.1239105681799
"DM059","11","M",38714,"D0501",0.45,59.775,37.5159390368705,2.75333333333333,0,0.936970053068429,975.571428571429,366,FALSE,0.375,20,9,39137,20,-0.0770620655264785
"HM098","1H","M",38822,"H0502",0,68.6,46.0312739538912,1.86,0.015625,0.936970053068429,1271,365.285714285714,FALSE,NA,20,0,40247,20,-0.0686120600843386
"FM105","4B","M",38835,"F0501",0,68.1416666666667,46.0695020067671,1.75666666666667,0.25,1.12436406368211,1062.33333333333,363.111111111111,FALSE,0,8,0,39993,8,0.245532032161445
"BF267","1B","F",38869,"B0503",0.125,69.8666666666667,46.6436653271536,1.37333333333333,0.03125,0.874961996782986,1300.625,363.5,FALSE,0.0476190476190476,8,1,40427,8,-0.122170110927642
"BM278","1B","M",38962,"B0504",0.833333333333333,71,48.9058092849733,3.39333333333333,0,1.04403623720378,1467.22222222222,365.888888888889,FALSE,0.909090909090909,12,10,39403,12,0.0300041186088679
"BF309","1B","F",39274,"B0604",0.625,64.7916666666667,33.3974266382996,0.53,0.0625,1.04920962005014,1448.46153846154,368.846153846154,FALSE,0.714285714285714,8,5,39671,8,0.0689775232237884
"BM311","1B","M",39274,"B0604",0.875,64.7916666666667,33.3974266382996,0.53,0.0625,1.03066705837527,1523.76923076923,368.846153846154,FALSE,0.7,8,7,40005,8,0.0504349615489239
"BM307","1B","M",39297,"B0604",0,64.7916666666667,33.3974266382996,0.53,0,0.98381855572185,1561.25,369.916666666667,FALSE,0,8,0,39755,8,-0.0302135628730572
"DM077","11","M",39190,"D0602",1,62.4916666666667,31.7632279769414,4.59666666666667,0,0.671343278147821,1304.57142857143,367.428571428571,FALSE,1,7,7,40036,7,-0.342688840447087
"FF127","4B","F",39191,"F0602",0.857142857142857,61.1,29.0650055127217,3.39333333333333,0,1.09189639049762,1029.5,365.25,FALSE,1,7,6,39947,7,0.0778642719027151
"HM117","1H","M",39206,"H0602",0.285714285714286,60.7166666666667,27.9017703359265,2.90333333333333,0.09375,1.03066705837527,1158.77777777778,365.222222222222,FALSE,1,7,2,42532,7,0.0673349724332037
"HF118","1H","F",39206,"H0602",0.571428571428571,60.7166666666667,27.9017703359265,2.90333333333333,0.0625,1.12436406368211,1208.25,363.375,FALSE,1,7,4,40605,7,0.144131966855767
"HF120","1H","F",39206,"H0602",0.571428571428571,60.7166666666667,27.9017703359265,2.90333333333333,0,1.2467803737031,1114,352,FALSE,1,7,4,40455,7,0.232748255108189
"DM084","11","M",39258,"D0603",0.625,64.7916666666667,33.3974266382996,1.38,0,1.03066705837527,1212.64285714286,362.142857142857,FALSE,0.625,16,10,39983,16,0.0166349397803644
"DF086","11","F",39258,"D0603",0.5625,64.7916666666667,33.3974266382996,1.38,0,1.17121256633554,1166.53333333333,362.6,FALSE,0.6,16,9,40231,16,0.157180447740629
"FM132","4B","M",39361,"F0604",0.7,59.95,28.1181759398048,1.67666666666667,0,0.985210270007381,1170.57142857143,362.285714285714,FALSE,0.583333333333333,10,7,40495,10,-0.0288218485875266
"FF133","4B","F",39361,"F0604",0.5,59.95,28.1181759398048,1.67666666666667,0,1.0174360289128,1043.16666666667,363.166666666667,FALSE,0.555555555555556,10,5,40919,10,0.00340391031789012
"FF138","4B","F",39361,"F0604",0.3,59.95,28.1181759398048,1.67666666666667,0,0.98381855572185,1156.42857142857,362.285714285714,FALSE,0.6,10,3,40162,10,-0.0302135628730572
"BF315","1B","F",39379,"B0606",0.166666666666667,63.1166666666667,25.8274636537907,1.24333333333333,0.078125,1.07751556102869,1445.75,370.625,FALSE,1,6,1,39541,6,0.105733469644485
